rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss
23.14,14,41,1401,20992,8.76254184,0.0361328125,0.2,0.19439822435379028,0.0026558964,-0.6494777344167233,400,-0.0015859726467169822,0.0005,8.680159664154052,2.9288737773895264
23.21,14,42,1442,21504,8.85436919,0.047265625,0.2,0.29403722286224365,0.001125751,-0.5892018102109432,410,-0.0018950061406940223,0.0005,7.432330149412155,2.8211164474487305
22.65,14,43,1478,22016,8.53917755,0.03359375,0.2,0.19097059965133667,0.0044344864,-0.6496021367609501,420,-0.001547958387527615,0.0005,9.399441373348235,5.840395450592041
20.91,14,44,1518,22528,7.704131199999999,0.0912109375,0.2,0.19555485248565674,0.006777996,-0.753291018307209,430,-0.007878596405498683,0.0005,9.056608098745347,4.678128242492676
20.41,14,45,1572,23040,7.444552739999998,0.0333984375,0.2,0.41193753480911255,0.0041714697,-0.7828242674469947,440,-0.0010644234047504143,0.0005,6.123841375112534,2.507819652557373
19.4,14,46,1616,23552,7.007895179999999,0.0646484375,0.2,0.2670251131057739,0.005259769,-0.727946400642395,450,-0.005239638418424874,0.0005,5.1699941724538805,3.014336347579956
19.37,14,47,1661,24064,7.042517110000001,0.0232421875,0.2,0.40094929933547974,0.005127063,-0.625866063684225,460,-0.0016255645081400872,0.0005,5.295033952593803,2.0883092880249023
19.79,14,48,1704,24576,7.32317074,0.05625,0.2,0.3699266314506531,0.0041615856,-0.5661870434880256,470,-0.004995496140327305,0.0005,5.722410309314728,2.216231346130371
19.39,14,49,1744,25088,7.249438899999999,0.0037109375,0.2,0.3404623866081238,0.0024361962,-0.5511841982603073,480,-0.0005781129351817071,0.0005,5.987836456298828,2.597132682800293
19.81,14,50,1787,25600,7.43368835,0.0248046875,0.2,0.3406190872192383,0.0029497265,-0.6175030551850795,490,-0.001958104077493772,0.0005,7.180683583021164,3.8960177898406982
19.42,14,51,1827,26112,7.2077622099999985,0.0044921875,0.2,0.2520800828933716,0.00059793144,-0.6545855835080147,500,-0.0005718829284887761,0.0005,7.161261051893234,2.3921995162963867
19.08,14,52,1871,26624,7.019869789999999,0.019140625,0.2,0.31836897134780884,0.0025002123,-0.6315928064286709,510,-0.0010307937045581639,0.0005,5.004229003190995,1.832877278327942
18.79,14,53,1913,27136,6.723873759999999,0.044140625,0.2,0.14903676509857178,0.0036912179,-0.5667046643793583,520,-0.004332197626354173,0.0005,6.473510482907296,3.6146597862243652
